location-long,location-lat,individual-local-identifier,year,month
-119.001,29.266,1995CA-Bmu-04173,1995,10
-118.10399999999998,29.116,1995CA-Bmu-04173,1995,10
-116.038,27.224,1995CA-Bmu-04173,1995,10
-115.941,26.949,1995CA-Bmu-04173,1995,10
-115.137,26.694,1995CA-Bmu-04173,1995,10
-115.149,26.437,1995CA-Bmu-04173,1995,10
-120.374,33.826,1995CA-Bmu-04176,1995,10
-120.27800000000002,33.788,1995CA-Bmu-04176,1995,10
-120.387,34.034,1995CA-Bmu-04176,1995,10
-119.97199999999998,33.992,1995CA-Bmu-04176,1995,10
-120.195,34.061,1995CA-Bmu-04176,1995,10
-125.7,32.428,1995CA-Bmu-04176,1995,10
-119.373,32.966,1995CA-Bmu-04176,1995,10
-119.226,33.124,1995CA-Bmu-04176,1995,10
-118.699,32.858,1995CA-Bmu-04176,1995,10
-118.243,32.397,1995CA-Bmu-04176,1995,10
-119.148,32.982,1995CA-Bmu-04176,1995,10
-118.11700000000002,32.146,1995CA-Bmu-04176,1995,10
-117.928,31.972,1995CA-Bmu-04176,1995,10
-117.947,31.96,1995CA-Bmu-04176,1995,10
-117.90300000000002,32.096,1995CA-Bmu-04176,1995,10
-117.93099999999998,32.376,1995CA-Bmu-04176,1995,10
-118.00400000000002,32.496,1995CA-Bmu-04176,1995,10
-118.47899999999998,32.653,1995CA-Bmu-04176,1995,10
-117.7,32.855,1995CA-Bmu-04176,1995,10
-117.889,32.77,1995CA-Bmu-04176,1995,10
-117.977,32.682,1995CA-Bmu-04176,1995,10
-117.686,32.693,1995CA-Bmu-04176,1995,10
-119.06799999999998,32.359,1995CA-Bmu-04176,1995,10
-117.344,32.435,1995CA-Bmu-04176,1995,10
-119.413,32.201,1995CA-Bmu-04176,1995,10
-117.261,32.151,1995CA-Bmu-04176,1995,10
-117.163,32.481,1995CA-Bmu-04176,1995,10
-116.511,31.361,1995CA-Bmu-04176,1995,10
-117.434,30.619,1995CA-Bmu-04176,1995,10
-116.348,31.113,1995CA-Bmu-04176,1995,10
-115.825,29.022,1995CA-Bmu-04176,1995,10
-116.207,28.756,1995CA-Bmu-04176,1995,10
-115.69400000000002,28.505,1995CA-Bmu-04176,1995,10
-115.474,28.544,1995CA-Bmu-04176,1995,10
-115.30200000000002,28.336,1995CA-Bmu-04176,1995,10
-115.29399999999998,27.577,1995CA-Bmu-04176,1995,10
-115.252,27.566,1995CA-Bmu-04176,1995,10
-114.623,27.266,1995CA-Bmu-04176,1995,10
-114.298,26.731,1995CA-Bmu-04176,1995,10
-114.059,26.541,1995CA-Bmu-04176,1995,10
-114.0,26.228,1995CA-Bmu-04176,1995,10
-115.03,25.47,1995CA-Bmu-04176,1995,10
-113.437,24.923,1995CA-Bmu-04176,1995,10
-113.087,24.725,1995CA-Bmu-04176,1995,10
-113.17000000000002,24.626,1995CA-Bmu-04176,1995,10
-112.15699999999998,24.449,1995CA-Bmu-04176,1995,10
-112.274,24.203,1995CA-Bmu-04176,1995,10
-111.14100000000002,23.455,1995CA-Bmu-04176,1995,11
-109.79399999999998,22.192,1995CA-Bmu-04176,1995,11
-109.82999999999998,21.907,1995CA-Bmu-04176,1995,11
-110.793,20.593,1995CA-Bmu-04176,1995,11
-108.601,21.183,1995CA-Bmu-04176,1995,11
-108.667,19.704,1995CA-Bmu-04176,1995,11
-120.417,34.0,1995CA-Bmu-23031,1995,10
-120.45600000000002,33.844,1995CA-Bmu-23031,1995,10
-120.514,34.061,1995CA-Bmu-23031,1995,10
-120.463,33.842,1995CA-Bmu-23031,1995,10
-120.364,34.027,1995CA-Bmu-23031,1995,10
-120.905,34.668,1995CA-Bmu-23031,1995,10
-121.06,33.993,1995CA-Bmu-23031,1995,10
-120.577,34.271,1995CA-Bmu-23031,1995,10
-120.715,34.535,1995CA-Bmu-23031,1995,10
-121.051,33.29,1995CA-Bmu-23031,1995,10
-119.759,33.858,1995CA-Bmu-23037,1995,9
-120.60899999999998,34.019,1995CA-Bmu-23037,1995,9
-120.067,34.1,1995CA-Bmu-23037,1995,9
-124.24,35.327,1995CA-Bmu-23040,1995,9
-120.661,33.809,1995CA-Bmu-23040,1995,9
-120.241,33.935,1995CA-Bmu-23040,1995,9
-118.564,33.407,1995CA-Bmu-23040,1995,9
-119.924,33.844,1995CA-Bmu-23040,1995,9
-120.055,34.147,1995CA-Bmu-23040,1995,9
-119.808,33.964,1995CA-Bmu-23040,1995,9
-119.882,33.286,1995CA-Bmu-23040,1995,9
-120.19400000000002,34.247,1995CA-Bmu-23040,1995,9
-120.393,34.344,1995CA-Bmu-23040,1995,9
-120.99200000000002,34.265,1995CA-Bmu-23040,1995,9
-120.685,34.487,1995CA-Bmu-23040,1995,9
-120.886,34.031,1995CA-Bmu-23040,1995,9
-121.661,33.926,1995CA-Bmu-23040,1995,9
-120.503,33.976,1995CA-Bmu-23040,1995,9
-120.507,33.966,1995CA-Bmu-23040,1995,9
-120.191,33.251,1995CA-Bmu-23040,1995,9
-120.25799999999998,33.716,1995CA-Bmu-23040,1995,9
-120.173,33.968,1995CA-Bmu-23040,1995,9
-119.798,33.638,1995CA-Bmu-23040,1995,9
-121.172,34.89,1995CA-Bmu-23040,1995,9
-119.644,33.331,1995CA-Bmu-23040,1995,9
-134.998,28.954,1995CA-Bmu-23040,1995,9
-119.888,33.432,1995CA-Bmu-23040,1995,9
-119.685,33.349,1995CA-Bmu-23040,1995,9
-119.70499999999998,33.42,1995CA-Bmu-23040,1995,9
